text,intent,urgency,department
Hi,greeting,low,general
Hey,greeting,low,general
Is anyone there?,greeting,low,general
Hello,greeting,low,general
Hay,greeting,low,general
Sasa,greeting,low,general
Good Evening,greeting,low,general
Good afternoon,greeting,low,general
Bye,goodbye,low,general
See you later,goodbye,low,general
Goodbye,goodbye,low,general
Thanks,thanks,low,general
Thank you,thanks,low,general
That's helpful,thanks,low,general
Thanks for the help,thanks,low,general
Who are you?,about,low,general
What are you?,about,low,general
Who you are?,about,low,general
Could you help me?,help,low,general
give me a hand please,help,low,general
Can you help?,help,low,general
I need a support,help,low,general
I need a help,help,low,general
support me please,help,low,general
how to deactivate an account,ActivateDeactivate-account,low,ict_support
my account is deactivated,ActivateDeactivate-account,low,ict_support
Can not activate my account,ActivateDeactivate-account,low,ict_support
having problens with my account activation,ActivateDeactivate-account,low,ict_support
How to activate an account,ActivateDeactivate-account,low,ict_support
How can i reset my password,passwords,low,ict_support
cant remember my logins,passwords,low,ict_support
i lost my login credentials,passwords,low,ict_support
I did not save my logins and I lost them,passwords,low,ict_support
what do I do when I cant remember my logins or password,passwords,low,ict_support
can I recover my password,passwords,low,ict_support
How do I change my password,passwords,low,ict_support
I forgot my password,passwords,low,ict_support
can not remember my password,passwords,low,ict_support
Forgot password kindly assist,passwords,low,ict_support
My password is  locked and kindly request that it be reset.  Thank you,passwords,low,ict_support
I have not been able to have my password reset. Kindly facilitate,passwords,low,ict_support
Please reset,passwords,low,ict_support
My account requested for account password reset,passwords,low,ict_support
Kindly reset the password,passwords,low,ict_support
What should I do coz I can't remember old password,passwords,low,ict_support
I have not received a notification on password change,passwords,low,ict_support
How can I do a self reset of my password,passwords,low,ict_support
When will we be paid,payments,low,training_admin
Why is our payment delayed,payments,low,training_admin
we have not been paid,payments,low,training_admin
Where can i access the photos,photos,medium,data_registry
Where is the link to the images,photos,medium,data_registry
How can i feel the sheets,sheets,medium,data_registry
Help me with the instructions to fill the sheets,sheets,medium,data_registry
when can i join the livestream,livestream,low,ict_support
How cam i join the livetream,livestream,low,ict_support
When will the live stream be available to me,livestream,low,ict_support
How can i access livestream services,livestream,low,ict_support
I need to create a new account,createaccount,low,ict_support
how to open a new account,createaccount,low,ict_support
I want to create an account,createaccount,low,ict_support
can you create an account for me,createaccount,low,ict_support
have a complain,complaint,high,case_management
I want to raise a complain,complaint,high,case_management
there is a complain about a service,complaint,high,case_management
Unable to login,login,low,ict_support
Having login issues,login,low,ict_support
can not login to my account,login,low,ict_support
The login page is not loading,login,low,ict_support
The login page is not appearing,login,low,ict_support
unable to load the system,login,low,ict_support
The System is too slow,login,low,ict_support
site not available,login,low,ict_support
Cannt find the systems website,login,low,ict_support
How to delete a child recorded more than once,delete,medium,data_registry
How to delete duplicates,delete,medium,data_registry
How do I enter infomations for siblings,SiblingsInfomation,medium,case_management
parent nigletted more than one child,SiblingsInfomation,medium,case_management
children are related,SiblingsInfomation,medium,case_management
Which platform are we submitting data,DataEntry,medium,data_registry
Is excel still working in submitting data,DataEntry,medium,data_registry
I need help to key in a child and the date paper form filled is not active,DataEntry,medium,data_registry
How do i find the caseloads  as entered in CPIMS for the period,DataEntry,medium,data_registry
How can I fix the issue of entering the wrong type of data/information,DataEntry,medium,data_registry
Is it possible to enter all our cases into the system,DataEntry,medium,data_registry
Please help me understand the connection between the entries and the totals,DataEntry,medium,data_registry
Who are the perpetrators in the updated system,DataEntry,medium,data_registry
Some cases that have been recorded have not reflected in the system,DataEntry,medium,data_registry
Do we still fill tool A,DataEntry,medium,data_registry
How do I update my details,UpdateDetails,medium,data_registry
how can I change my profile,UpdateDetails,medium,data_registry
I want to change my personal details,UpdateDetails,medium,data_registry
steps to change my profile details,UpdateDetails,medium,data_registry
How can I change my details,UpdateDetails,medium,data_registry
Is excel still working in submitting data,UpdateDetails,medium,data_registry
I cant reset my password,notAbleToReset_Password,low,ict_support
my reset email has not arrived,notAbleToReset_Password,low,ict_support
Reset password not working,notAbleToReset_Password,low,ict_support
I cannot excess the system what's the problem,systemAcess,low,ict_support
Why are users still being locked out of CPIMS?,systemAcess,low,ict_support
I'm not able to access CPIMS. Any help.,systemAcess,low,ict_support
the trainers are not able to access the  the live system using their user names and password given during the training.,systemAcess,low,ict_support
am trying to connect with cpims in vain. Any problem?,systemAcess,low,ict_support
